word,category,description
life,THINGS,THING,thing - the period between birth and death
limit,THINGS,THING,thing - a point beyond which something cannot go
list,THINGS,THING,thing - a number of items written together
love,THINGS,THING,thing - deep affection
machine,THINGS,THING,thing - a device using power
manager,THINGS,THING,thing - a person who manages
map,THINGS,THING,thing - a drawing showing an area
matter,THINGS,THING,thing - substance
menu,THINGS,THING,thing - a list of dishes
metal,THINGS,THING,thing - a hard shiny substance
money,THINGS,THING,thing - a medium of exchange
month,THINGS,THING,thing - a period of 30 days
morning,THINGS,THING,thing - the period from midnight to noon
mountain,THINGS,THING,thing - a large natural hill
movement,THINGS,THING,thing - the act of moving
music,THINGS,THING,thing - arranged sound
name,THINGS,THING,thing - a word identifying a person
nation,THINGS,THING,thing - a large body of people
number,THINGS,THING,thing - a figure representing quantity
object,THINGS,THING,thing - a material thing
operation,THINGS,THING,thing - the act of operating
order,THINGS,THING,thing - a command
organ,THINGS,THING,thing - a body part
organization,THINGS,THING,thing - the action of organizing
origin,THINGS,THING,thing - the beginning
owner,THINGS,THING,thing - a person who owns
page,THINGS,THING,thing - one side of a sheet
paint,THINGS,THING,thing - a colored substance
paper,THINGS,THING,thing - a thin material for writing
part,THINGS,THING,thing - a piece of something
passage,THINGS,THING,thing - a section of a book
path,THINGS,THING,thing - a way or track
peace,THINGS,THING,thing - freedom from disturbance
people,THINGS,THING,thing - human beings collectively
person,THINGS,THING,thing - a human being
photo,THINGS,THING,thing - a picture taken by camera
picture,THINGS,THING,thing - a visual representation
plant,THINGS,THING,thing - a living organism producing its own food
play,THINGS,THING,thing - a dramatic work
player,THINGS,THING,thing - a person who plays
point,THINGS,THING,thing - a sharp end
power,THINGS,THING,thing - ability to do something
praise,THINGS,THING,thing - expression of approval
price,THINGS,THING,thing - the amount expected for something
prince,THINGS,THING,thing - the son of a king
prison,THINGS,THING,thing - a place of confinement
problem,THINGS,THING,thing - a question to be solved
process,THINGS,THING,thing - a series of actions
program,THINGS,THING,thing - a plan of action
promise,THINGS,THING,thing - a declaration of assurance
proof,THINGS,THING,thing - evidence establishing truth
public,THINGS,THING,thing - people in general
purpose,THINGS,THING,thing - the reason for which something is done
quality,THINGS,THING,thing - a characteristic
question,THINGS,THING,thing - a sentence asking for information
queue,THINGS,THING,thing - a line of people
quote,THINGS,THING,thing - words taken from a text
race,THINGS,THING,thing - a competition of speed
rail,THINGS,THING,thing - a horizontal bar
rain,THINGS,THING,thing - water falling from clouds
read,THINGS,THING,thing - to look at and understand writing
reading,THINGS,THING,thing - the action of reading
reason,THINGS,THING,thing - a cause, explanation
record,THINGS,THING,thing - a thing that is recorded
rest,THINGS,THING,thing - a period of relaxation
reward,THINGS,THING,thing - something given in recognition
rhythm,THINGS,THING,thing - a strong regular repeated pattern
rice,THINGS,THING,thing - a cereal grain
river,THINGS,THING,thing - a large natural stream
road,THINGS,THING,thing - a wide way for vehicles
roll,THINGS,THING,thing - a cylindrical piece
room,THINGS,THING,thing - a part of a building
rub,THINGS,THING,thing - friction
rule,THINGS,THING,thing - a regulation
run,THINGS,THING,thing - the act of running
salt,THINGS,THING,thing - a white crystalline substance
sand,THINGS,THING,thing - fine grains of rock
scale,THINGS,THING,thing - a device for weighing
science,THINGS,THING,thing - systematized knowledge
sea,THINGS,THING,thing - the body of salt water covering most of the earth
seat,THINGS,THING,thing - something to sit on
secretary,THINGS,THING,thing - an official keeper of records
selection,THINGS,THING,thing - the action of selecting
self,THINGS,THING,thing - a person's essential being
sense,THINGS,THING,thing - a faculty of perception
servant,THINGS,THING,thing - a person employed to perform domestic duties
sex,THINGS,THING,thing - the division between male and female
shade,THINGS,THING,thing - darkness caused by blocking light
shake,THINGS,THING,thing - a rapid movement back and forth
shame,THINGS,THING,thing - a painful feeling of humiliation
shock,THINGS,THING,thing - a violent disturbance
side,THINGS,THING,thing - a surface that is not top or bottom
sign,THINGS,THING,thing - an object displaying information
silk,THINGS,THING,thing - a fine strong shining fiber
silver,THINGS,THING,thing - a bright white precious metal
sister,THINGS,THING,thing - a female sibling
size,THINGS,THING,thing - the relative magnitude of something
sky,THINGS,THING,thing - the space above the earth
sleep,THINGS,THING,thing - a condition of body and mind
slip,THINGS,THING,thing - a slight accident
slope,THINGS,THING,thing - a surface with one end higher than the other
smash,THINGS,THING,thing - the act of breaking violently
smell,THINGS,THING,thing - a sense of detecting odors
smile,THINGS,THING,thing - a facial expression of pleasure
smoke,THINGS,THING,thing - a gas and particles from burning
sneeze,THINGS,THING,thing - a sudden involuntary explosion of air
snow,THINGS,THING,thing - frozen water particles
soap,THINGS,THING,thing - a cleansing substance
society,THINGS,THING,thing - a group of people living together
son,THINGS,THING,thing - a male child
song,THINGS,THING,thing - a short poem set to music
sort,THINGS,THING,thing - a kind or class
sound,THINGS,THING,thing - vibrations perceived by the ear
soup,THINGS,THING,thing - liquid food
space,THINGS,THING,thing - the area beyond the earth's atmosphere
stage,THINGS,THING,thing - a period in a process
start,THINGS,THING,thing - the beginning
statement,THINGS,THING,thing - a declaration
steam,THINGS,THING,thing - water vapor
steel,THINGS,THING,thing - a hard shiny metal
step,THINGS,THING,thing - a footfall
stitch,THINGS,THING,thing - a loop of thread
stone,THINGS,THING,thing - a piece of rock
stop,THINGS,THING,thing - the act of ceasing
story,THINGS,THING,thing - an account of events
stretch,THINGS,THING,thing - the act of extending
structure,THINGS,THING,thing - the arrangement of parts
substance,THINGS,THING,thing - the material of which something consists
sugar,THINGS,THING,thing - a sweet crystalline substance
suggestion,THINGS,THING,thing - something proposed
summer,THINGS,THING,thing - the warmest season
support,THINGS,THING,thing - assistance
surprise,THINGS,THING,thing - something unexpected
swim,THINGS,THING,thing - the act of swimming
system,THINGS,THING,thing - a set of principles
talk,THINGS,THING,thing - conversation
taste,THINGS,THING,thing - the sense of detecting flavors
tax,THINGS,THING,thing - a sum of money paid to government
teaching,THINGS,THING,thing - the action of instructing
tendency,THINGS,THING,thing - the disposition to act in a certain way
test,THINGS,THING,thing - a procedure to determine quality
theory,THINGS,THING,thing - a system of ideas
thing,THINGS,THING,thing - an object
thought,THINGS,THING,thing - a product of thinking
thunder,THINGS,THING,thing - a loud explosive sound
time,THINGS,THING,thing - the indefinite progress
tin,THINGS,THING,thing - a silvery-white metal
top,THINGS,THING,thing - the highest part
touch,THINGS,THING,thing - the sense of perceiving contact
trade,THINGS,THING,thing - the action of buying and selling
transport,THINGS,THING,thing - the action of conveying
trick,THINGS,THING,thing - an act of deception
trouble,THINGS,THING,thing - difficulty
turn,THINGS,THING,thing - a change in direction
twist,THINGS,THING,thing - the act of twisting
unit,THINGS,THING,thing - an individual thing viewed with others
use,THINGS,THING,thing - the action of using
value,THINGS,THING,thing - the importance of something
verse,THINGS,THING,thing - a line of poetry
vessel,THINGS,THING,thing - a ship or large boat
view,THINGS,THING,thing - the act of seeing
voice,THINGS,THING,thing - sound produced by the mouth
walk,THINGS,THING,thing - the act of walking
war,THINGS,THING,thing - a state of armed conflict
wash,THINGS,THING,thing - the act of cleaning with water
waste,THINGS,THING,thing - the use of resources inefficiently
water,THINGS,THING,thing - a colorless liquid
wave,THINGS,THING,thing - a moving ridge on water
wax,THINGS,THING,thing - a solid substance from bees
way,THINGS,THING,thing - a method of doing something
weather,THINGS,THING,thing - the condition of the atmosphere
week,THINGS,THING,thing - a period of 7 days
weight,THINGS,THING,thing - the heaviness of something
wind,THINGS,THING,thing - moving air
wine,THINGS,THING,thing - a fermented drink
winter,THINGS,THING,thing - the coldest season
woman,THINGS,THING,thing - an adult female
wood,THINGS,THING,thing - the hard material from trees
wool,THINGS,THING,thing - the hairy fiber from sheep
word,THINGS,THING,thing - a single distinct element of speech
work,THINGS,THING,thing - activity requiring effort
wound,THINGS,THING,thing - an injury
writing,THINGS,THING,thing - the action of forming letters
year,THINGS,THING,thing - a period of 365 days

angle,THINGS_PICTURABLE,thing - a figure formed by two lines
ant,THINGS_PICTURABLE,thing - a small insect
apple,THINGS_PICTURABLE,thing - a round fruit
arch,THINGS_PICTURABLE,thing - a curved structure
arm,THINGS_PICTURABLE,thing - the upper limb
army,THINGS_PICTURABLE,thing - a military force
ash,THINGS_PICTURABLE,thing - gray powdery residue
axe,THINGS_PICTURABLE,thing - a tool for cutting
baby,THINGS_PICTURABLE,thing - a very young child
back,THINGS_PICTURABLE,thing - the rear part of the body
bag,THINGS_PICTURABLE,thing - a container
ball,THINGS_PICTURABLE,thing - a spherical object
banana,THINGS_PICTURABLE,thing - a long curved fruit
bear,THINGS_PICTURABLE,thing - a large strong animal
bed,THINGS_PICTURABLE,thing - a piece of furniture for sleeping
bee,THINGS_PICTURABLE,thing - a flying insect
beef,THINGS_PICTURABLE,thing - meat from cattle
beetle,THINGS_PICTURABLE,thing - a hard-shelled insect
bell,THINGS_PICTURABLE,thing - a hollow metal object for ringing
bench,THINGS_PICTURABLE,thing - a long seat
bird,THINGS_PICTURABLE,thing - a feathered animal
boat,THINGS_PICTURABLE,thing - a vessel for water
book,THINGS_PICTURABLE,thing - a written or printed work
boot,THINGS_PICTURABLE,thing - a cover for the foot
bottle,THINGS_PICTURABLE,thing - a container with a narrow neck
box,THINGS_PICTURABLE,thing - a container with flat sides
boy,THINGS_PICTURABLE,thing - a male child
brain,THINGS_PICTURABLE,thing - the organ of thought
branch,THINGS_PICTURABLE,thing - a part of a tree
bride,THINGS_PICTURABLE,thing - a woman on her wedding day
broom,THINGS_PICTURABLE,thing - a cleaning tool
brush,THINGS_PICTURABLE,thing - a tool for cleaning
bush,THINGS_PICTURABLE,thing - a shrub
bus,THINGS_PICTURABLE,thing - a large motor vehicle
cage,THINGS_PICTURABLE,thing - a structure for confining animals
camel,THINGS_PICTURABLE,thing - a large desert animal
candle,THINGS_PICTURABLE,thing - a stick of wax with a wick
cannon,THINGS_PICTURABLE,thing - a large heavy gun
car,THINGS_PICTURABLE,thing - a motor vehicle
card,THINGS_PICTURABLE,thing - a piece of stiff paper
cat,THINGS_PICTURABLE,thing - a small domestic animal
chain,THINGS_PICTURABLE,thing - a series of connected rings
chair,THINGS_PICTURABLE,thing - a seat with a back
chamber,THINGS_PICTURABLE,thing - a room
chicken,THINGS_PICTURABLE,thing - a domestic fowl
child,THINGS_PICTURABLE,thing - a young human being
church,THINGS_PICTURABLE,thing - a building for worship
cigar,THINGS_PICTURABLE,thing - rolled tobacco
city,THINGS_PICTURABLE,thing - a large town
class,THINGS_PICTURABLE,thing - a group of students
clock,THINGS_PICTURABLE,thing - a device for measuring time
coat,THINGS_PICTURABLE,thing - outer clothing
coin,THINGS_PICTURABLE,thing - a piece of metal money
comb,THINGS_PICTURABLE,thing - a grooming tool
comet,THINGS_PICTURABLE,thing - an icy celestial body
cord,THINGS_PICTURABLE,thing - a thin strong string
corner,THINGS_PICTURABLE,thing - the point where two lines meet
cotton,THINGS_PICTURABLE,thing - a soft white fiber
cow,THINGS_PICTURABLE,thing - a large domestic animal
cradle,THINGS_PICTURABLE,thing - a bed for a baby
cup,THINGS_PICTURABLE,thing - a small bowl for drinking
curve,THINGS_PICTURABLE,thing - a bending line
cushion,THINGS_PICTURABLE,thing - a soft bag of fabric
deer,THINGS_PICTURABLE,thing - a grazing animal
desk,THINGS_PICTURABLE,thing - a table for working
diamond,THINGS_PICTURABLE,thing - a precious clear stone
dinosaur,THINGS_PICTURABLE,thing - a prehistoric reptile
dog,THINGS_PICTURABLE,thing - a domestic animal
dollar,THINGS_PICTURABLE,thing - a unit of currency
drum,THINGS_PICTURABLE,thing - a musical instrument
duck,THINGS_PICTURABLE,thing - a water bird
ear,THINGS_PICTURABLE,thing - the organ of hearing
earthquake,THINGS_PICTURABLE,thing - shaking of the ground
egg,THINGS_PICTURABLE,thing - an oval object laid by a bird
engine,THINGS_PICTURABLE,thing - a machine producing power
ink,THINGS_PICTURABLE,thing - a colored fluid for writing
key,THINGS_PICTURABLE,thing - a device for locking
knee,THINGS_PICTURABLE,thing - the joint in the middle of the leg
knife,THINGS_PICTURABLE,thing - a tool with a blade
lamp,THINGS_PICTURABLE,thing - a device giving light
leaf,THINGS_PICTURABLE,thing - a green flat part of a plant
leg,THINGS_PICTURABLE,thing - the lower limb
letter,THINGS_PICTURABLE,thing - a single character of writing
lion,THINGS_PICTURABLE,thing - a large wild cat
lock,THINGS_PICTURABLE,thing - a device for securing a door
map,THINGS_PICTURABLE,thing - a diagram representing an area
match,THINGS_PICTURABLE,thing - a small stick for lighting fire
mouse,THINGS_PICTURABLE,thing - a small rodent
nose,THINGS_PICTURABLE,thing - the organ of smell
pen,THINGS_PICTURABLE,thing - a tool for writing
pencil,THINGS_PICTURABLE,thing - a writing instrument
phone,THINGS_PICTURABLE,thing - a device for communication
pig,THINGS_PICTURABLE,thing - a domestic animal
picture,THINGS_PICTURABLE,thing - a painting or drawing
pillow,THINGS_PICTURABLE,thing - a cushion for the head
pipe,THINGS_PICTURABLE,thing - a tube for conveying fluid
plane,THINGS_PICTURABLE,thing - a flat surface
plant,THINGS_PICTURABLE,thing - a living organism
plate,THINGS_PICTURABLE,thing - a flat dish
pot,THINGS_PICTURABLE,thing - a container for cooking
piano,THINGS_PICTURABLE,thing - a musical instrument
queen,THINGS_PICTURABLE,thing - a female monarch
rat,THINGS_PICTURABLE,thing - a large rodent
ring,THINGS_PICTURABLE,thing - a circular band
robot,THINGS_PICTURABLE,thing - a machine capable of work
rock,THINGS_PICTURABLE,thing - a solid mineral mass
sail,THINGS_PICTURABLE,thing - a sheet of cloth catching wind
school,THINGS_PICTURABLE,thing - a place of learning
scissors,THINGS_PICTURABLE,thing - a cutting tool
screw,THINGS_PICTURABLE,thing - a fastening device
seed,THINGS_PICTURABLE,thing - a plant embryo
sheep,THINGS_PICTURABLE,thing - a woolly animal
shelf,THINGS_PICTURABLE,thing - a flat horizontal surface
ship,THINGS_PICTURABLE,thing - a large vessel for water
shirt,THINGS_PICTURABLE,thing - a garment for the upper body
shoe,THINGS_PICTURABLE,thing - a cover for the foot
skin,THINGS_PICTURABLE,thing - the outer covering of the body
skirt,THINGS_PICTURABLE,thing - a garment hanging from the waist
snake,THINGS_PICTURABLE,thing - a long legless reptile
sock,THINGS_PICTURABLE,thing - a garment for the foot
spade,THINGS_PICTURABLE,thing - a digging tool
sponge,THINGS_PICTURABLE,thing - a porous material
spoon,THINGS_PICTURABLE,thing - a eating utensil
spring,THINGS_PICTURABLE,thing - a coil of metal
square,THINGS_PICTURABLE,thing - a four-sided equal figure
stamp,THINGS_PICTURABLE,thing - a small piece of paper
star,THINGS_PICTURABLE,thing - a luminous celestial body
station,THINGS_PICTURABLE,thing - a stopping place
stem,THINGS_PICTURABLE,thing - the main part of a plant
stick,THINGS_PICTURABLE,thing - a long thin piece of wood
stocking,THINGS_PICTURABLE,thing - a garment for the foot and leg
stomach,THINGS_PICTURABLE,thing - the organ of digestion
store,THINGS_PICTURABLE,thing - a place of business
street,THINGS_PICTURABLE,thing - a public road
sun,THINGS_PICTURABLE,thing - the star around which the earth orbits
table,THINGS_PICTURABLE,thing - a piece of furniture
tail,THINGS_PICTURABLE,thing - the rear part of an animal
thread,THINGS_PICTURABLE,thing - a thin strand of fiber
throat,THINGS_PICTURABLE,thing - the front part of the neck
thumb,THINGS_PICTURABLE,thing - the short thick finger
ticket,THINGS_PICTURABLE,thing - a piece of paper for admission
toe,THINGS_PICTURABLE,thing - a digit of the foot
tongue,THINGS_PICTURABLE,thing - the organ of taste
tooth,THINGS_PICTURABLE,thing - a hard bony structure
town,THINGS_PICTURABLE,thing - a settlement larger than a village
train,THINGS_PICTURABLE,thing - a series of connected vehicles
tray,THINGS_PICTURABLE,thing - a flat plate for carrying things
tree,THINGS_PICTURABLE,thing - a woody perennial plant
trousers,THINGS_PICTURABLE,thing - a garment covering the legs
umbrella,THINGS_PICTURABLE,thing - a portable canopy
wall,THINGS_PICTURABLE,thing - a vertical structure
watch,THINGS_PICTURABLE,thing - a timepiece
wheel,THINGS_PICTURABLE,thing - a circular rotating structure
whip,THINGS_PICTURABLE,thing - a flexible strip for striking
whistle,THINGS_PICTURABLE,thing - a device producing a high pitch sound
window,THINGS_PICTURABLE,thing - an opening in a wall
wing,THINGS_PICTURABLE,thing - a limb for flying
wire,THINGS_PICTURABLE,thing - a thin flexible metal thread
worm,THINGS_PICTURABLE,thing - a long thin soft-bodied animal

able,QUALITIES,quality - having the power or skill
acid,QUALITIES,quality - sour in taste
angry,QUALITIES,quality - feeling strong annoyance
automatic,QUALITIES,quality - operating by itself
beautiful,QUALITIES,quality - pleasing to the senses
black,QUALITIES,quality - of the darkest color
boiling,QUALITIES,quality - at the temperature of vaporization
bright,QUALITIES,quality - giving out or reflecting light
broken,QUALITIES,quality - damaged and not functional
brown,QUALITIES,quality - a color between red and black
cheap,QUALITIES,quality - low in price
chemical,QUALITIES,quality - relating to chemistry
chief,QUALITIES,quality - most important
clean,QUALITIES,quality - free from dirt
clear,QUALITIES,quality - easy to perceive
common,QUALITIES,quality - occurring often
complex,QUALITIES,quality - consisting of many parts
conscious,QUALITIES,quality - aware of one's surroundings
cut,QUALITIES,quality - having a hole made by cutting
deep,QUALITIES,quality - extending far inward
dependent,QUALITIES,quality - relying on another
early,QUALITIES,quality - happening before the expected time
elastic,QUALITIES,quality - able to return to shape
electric,QUALITIES,quality - relating to electricity
equal,QUALITIES,quality - of the same quantity
fat,QUALITIES,quality - having much flesh
fertile,QUALITIES,quality - able to produce abundant vegetation
first,QUALITIES,quality - coming before all others
fixed,QUALITIES,quality - firmly positioned
